time_stamp	x	y	v	theta	omega	measure_x	measure_y	predict_x	predict_y	predict_v	predict_theta	predict_omega	true_x	true_y	true_v
1477010456250000	-4.68342	2.04572	5.23809	-1.98844	-0.141252	-4.29257	1.92854	-4.68205	2.0517	5.2244	-1.95953	-0.0633158	-4.56836	1.97072	5.18405
1477010456350000	-4.92444	1.52642	5.32935	-2.01135	-0.16283	-4.98165	1.43611	-4.89901	1.56883	5.23809	-2.00257	-0.141252	-4.76186	1.48989	5.17988
1477010456450000	-5.12254	1.07142	5.25063	-2.01389	-0.13168	-4.98594	1.10894	-5.15529	1.0466	5.32935	-2.02763	-0.16283	-4.96094	1.01182	5.17526
1477010456550000	-5.29434	0.471546	5.39139	-1.99044	-0.0830825	-4.84736	0.18101	-5.35036	0.598895	5.25063	-2.02706	-0.13168	-5.16621	0.536876	5.1702
1477010456650000	-5.47035	-0.0925199	5.56012	-1.93076	0.0974011	-5.99809	-0.290765	-5.51556	-0.0195222	5.39139	-1.99875	-0.0830825	-5.3782	0.0654719	5.16471
1477010456750000	-5.61191	-0.543731	5.22405	-1.97656	-0.0758439	-5.64447	-0.144522	-5.65974	-0.613488	5.56012	-1.92102	0.0974011	-5.59748	-0.401971	5.1588
1477010456850000	-5.81398	-0.924772	4.89611	-2.06865	-0.28245	-5.30947	-0.724468	-5.81622	-1.02245	5.22405	-1.98415	-0.0758439	-5.82456	-0.865006	5.15249
1477010456950000	-6.02156	-1.4368	5.12464	-2.02764	-0.147268	-5.68069	-1.52871	-6.05041	-1.35126	4.89611	-2.09689	-0.28245	-6.05993	-1.32316	5.14579
1477010457050000	-6.30064	-1.84069	5.09443	-2.1008	-0.263596	-6.11355	-1.75966	-6.24805	-1.89422	5.12464	-2.04237	-0.147268	-6.30406	-1.77593	5.13873
1477010457150000	-6.61118	-2.19901	4.95928	-2.17539	-0.328642	-6.99344	-2.17445	-6.56167	-2.27617	5.09443	-2.12715	-0.263596	-6.55738	-2.22281	5.13132
1477010457250000	-6.92266	-2.60197	4.97439	-2.21912	-0.346115	-7.14408	-2.67584	-6.89794	-2.60183	4.95928	-2.20825	-0.328642	-6.82029	-2.66323	5.12357
1477010457350000	-7.18108	-3.06129	5.00319	-2.21365	-0.289588	-7.13937	-3.22028	-7.22835	-2.99269	4.97439	-2.25373	-0.346115	-7.09316	-3.09663	5.11551
1477010457450000	-7.45505	-3.58646	5.1088	-2.19583	-0.231376	-7.77186	-4.08999	-7.48546	-3.45674	5.00319	-2.24261	-0.289588	-7.37632	-3.5224	5.10717
1477010457550000	-7.7406	-3.99334	5.11033	-2.21583	-0.230838	-7.52393	-3.88213	-7.75752	-3.99656	5.1088	-2.21897	-0.231376	-7.67004	-3.93992	5.09855
1477010457650000	-8.03578	-4.43415	5.12945	-2.22398	-0.211695	-8.08524	-4.57834	-8.0513	-4.39739	5.11033	-2.23891	-0.230838	-7.97457	-4.34854	5.08968
1477010457750000	-8.32636	-4.84263	5.04483	-2.22697	-0.172908	-8.453	-4.95621	-8.35051	-4.83739	5.12945	-2.24515	-0.211695	-8.29011	-4.74759	5.08058
1477010457850000	-8.64717	-5.1437	4.91631	-2.26536	-0.187085	-8.55062	-4.79248	-8.63623	-5.23882	5.04483	-2.24426	-0.172908	-8.61678	-5.13637	5.07128
1477010457950000	-8.96094	-5.54691	4.94154	-2.27556	-0.177105	-9.04115	-5.69364	-8.9639	-5.51762	4.91631	-2.28407	-0.187085	-8.95469	-5.51417	5.0618
1477010458050000	-9.25188	-5.84603	4.82734	-2.30111	-0.181881	-8.86897	-5.41973	-9.28279	-5.91951	4.94154	-2.29328	-0.177105	-9.30388	-5.88026	5.05217
1477010458150000	-9.59537	-6.22502	4.86401	-2.3186	-0.181094	-9.80646	-6.41174	-9.57543	-6.20168	4.82734	-2.3193	-0.181881	-9.66432	-6.23389	5.0424
1477010458250000	-10.0739	-6.48471	4.92933	-2.40829	-0.267173	-10.6688	-6.35543	-9.92745	-6.57749	4.86401	-2.33671	-0.181094	-10.0359	-6.57431	5.03253
1477010458350000	-10.4242	-6.81893	4.9654	-2.42896	-0.263957	-10.2205	-6.71044	-10.4423	-6.80861	4.92933	-2.43501	-0.267173	-10.4186	-6.90075	5.02257
1477010458450000	-10.848	-7.0761	4.98503	-2.48729	-0.30105	-10.8944	-6.83335	-10.8018	-7.13733	4.9654	-2.45535	-0.263957	-10.8121	-7.21245	5.01256
1477010458550000	-11.2052	-7.39152	4.9646	-2.50177	-0.284993	-10.986	-7.3707	-11.2455	-7.37219	4.98503	-2.51739	-0.30105	-11.2161	-7.50861	5.00251
1477010458650000	-11.595	-7.64752	4.93371	-2.53876	-0.294691	-11.4213	-7.46085	-11.605	-7.68077	4.9646	-2.53027	-0.284993	-11.6304	-7.78849	4.99246
1477010458750000	-11.986	-7.88719	4.82597	-2.57613	-0.303553	-11.9422	-7.88317	-12.0027	-7.91972	4.93371	-2.56823	-0.294691	-12.0546	-8.05131	4.98243
1477010458850000	-12.4219	-8.1479	4.94429	-2.60596	-0.300105	-12.4462	-8.02117	-12.3945	-8.13801	4.82597	-2.60649	-0.303553	-12.4881	-8.29633	4.97244
